序号	项目编号	项目名称	任务编号	任务名称	任务类型	优先级	负责人角色	状态	计划开始	计划结束	验收标准	备注
19	solo_23	青禾连锁咖啡门店	QHCF-019	布置早餐套餐收银台提示贴	活动陈列	低	陈列专员	待处理	2026-06-26	2026-06-27	提示贴位置符合动线且无破损	早餐活动
20	solo_23	青禾连锁咖啡门店	QHCF-020	核查储值卡退款审批单据	财务对账	高	财务稽核	进行中	2026-06-27	2026-06-27	退款金额与审批单一致并完成归档	资金安全
21	solo_23	青禾连锁咖啡门店	QHCF-021	检查开店音乐与香氛设备启动状态	门店开闭店	低	门店班长	待处理	2026-06-27	2026-06-27	环境设备按标准时间启动并记录	体验检查
22	solo_23	青禾连锁咖啡门店	QHCF-022	盘点低因咖啡豆消耗异常门店	库存盘点	中	区域店长	待处理	2026-06-28	2026-06-29	异常门店名单确认并标注原因	区域盘点
23	solo_23	青禾连锁咖啡门店	QHCF-023	提交新鲜柠檬周采买计划	原料补货	中	采购协调员	待处理	2026-06-28	2026-06-29	采买数量覆盖活动销量并审批通过	鲜品补货
24	solo_23	青禾连锁咖啡门店	QHCF-024	抽检冷萃桶清洗后余味情况	品控抽检	中	品控稽核	待处理	2026-06-29	2026-06-29	抽检结果无异味且记录留档	冷萃质量
25	solo_23	青禾连锁咖啡门店	QHCF-025	补训晚班收银交接注意事项	排班培训	高	培训负责人	待处理	2026-06-29	2026-06-30	晚班人员完成考核且交接单无漏项	收银交接
26	solo_23	青禾连锁咖啡门店	QHCF-026	筛选高频购买用户邀请试饮	会员运营	中	会员运营	待处理	2026-06-30	2026-07-01	邀请名单已发送且报名人数达标	新品试饮
27	solo_23	青禾连锁咖啡门店	QHCF-027	核查外卖封签库存与使用记录	外卖订单	中	门店班长	待处理	2026-06-30	2026-07-01	封签库存准确且缺口已补货	包装合规
28	solo_23	青禾连锁咖啡门店	QHCF-028	清理磨豆机豆仓油脂残留	设备清洁	高	吧台师	待处理	2026-07-01	2026-07-01	豆仓无可见油污且研磨测试正常	设备卫生
29	solo_23	青禾连锁咖啡门店	QHCF-029	替换冷柜侧贴过期活动物料	活动陈列	低	陈列专员	待处理	2026-07-01	2026-07-02	旧物料全部撤下并换新版侧贴	视觉更新
30	solo_23	青禾连锁咖啡门店	QHCF-030	复核第三方平台手续费扣点	财务对账	中	财务稽核	待处理	2026-07-02	2026-07-03	扣点与合同条款一致或差异已反馈	平台对账
31	solo_23	青禾连锁咖啡门店	QHCF-031	检查早班备用金交接封包	门店开闭店	高	收银员	待处理	2026-07-02	2026-07-02	备用金金额准确且双人签字完成	现金管理
32	solo_23	青禾连锁咖啡门店	QHCF-032	盘点环保吸管与杯盖组合库存	库存盘点	中	库存专员	待处理	2026-07-03	2026-07-03	组合库存满足两日销售且记录一致	耗材盘点
33	solo_23	青禾连锁咖啡门店	QHCF-033	追踪燕麦奶临期批次调拨进度	原料补货	高	库存专员	进行中	2026-07-03	2026-07-04	临期批次完成调拨或下架处理	效期管控
34	solo_23	青禾连锁咖啡门店	QHCF-034	测试招牌拿铁甜度标准执行率	品控抽检	中	品控稽核	待处理	2026-07-04	2026-07-04	随机抽检合格率达到门店标准	口味稳定
35	solo_23	青禾连锁咖啡门店	QHCF-035	制定暑期兼职班次培训表	排班培训	中	区域店长	待处理	2026-07-04	2026-07-05	培训表覆盖所有兼职并发布确认	人员储备
36	solo_23	青禾连锁咖啡门店	QHCF-036	配置会员积分双倍日活动规则	会员运营	高	会员运营	待处理	2026-07-05	2026-07-06	活动规则上线且测试订单积分正确	营销配置
37	solo_23	青禾连锁咖啡门店	QHCF-037	抽查外卖饮品温度保持包装	外卖订单	中	品控稽核	待处理	2026-07-05	2026-07-05	抽查包装符合冷热分离要求	配送体验
38	solo_23	青禾连锁咖啡门店	QHCF-038	清洁制冰机储冰槽与排水口	设备清洁	高	设备维护员	待处理	2026-07-06	2026-07-06	储冰槽无异物且排水通畅	食品安全
39	solo_23	青禾连锁咖啡门店	QHCF-039	调整新品海报入口视线高度	活动陈列	低	陈列专员	待处理	2026-07-06	2026-07-07	入口三米内可清晰识别活动信息	门店视觉
40	solo_23	青禾连锁咖啡门店	QHCF-040	核对团购券核销与结算周期	财务对账	高	财务稽核	待处理	2026-07-07	2026-07-08	团购核销数与平台结算数一致	团购结算
41	solo_23	青禾连锁咖啡门店	QHCF-041	确认闭店垃圾分类与后厨清场	门店开闭店	中	门店班长	待处理	2026-07-07	2026-07-07	闭店照片显示垃圾清运和台面归位	卫生闭店
42	solo_23	青禾连锁咖啡门店	QHCF-042	抽盘手冲滤纸与滤杯库存	库存盘点	低	库存专员	待处理	2026-07-08	2026-07-08	抽盘数量与库存系统一致	手冲物料
43	solo_23	青禾连锁咖啡门店	QHCF-043	补充外带袋雨季备用库存	原料补货	中	采购协调员	待处理	2026-07-08	2026-07-09	外带袋库存达到雨季预警线	季节备货
44	solo_23	青禾连锁咖啡门店	QHCF-044	检查浓缩咖啡粉量称重偏差	品控抽检	高	吧台师	待处理	2026-07-09	2026-07-09	称重偏差控制在标准范围内	萃取基础
45	solo_23	青禾连锁咖啡门店	QHCF-045	安排区域巡店问题复训会	排班培训	中	区域店长	待处理	2026-07-09	2026-07-10	复训签到完整且问题项完成讲解	巡店整改
46	solo_23	青禾连锁咖啡门店	QHCF-046	整理高价值会员偏好标签	会员运营	中	会员运营	待处理	2026-07-10	2026-07-11	会员标签更新并用于下一轮推送	精细运营
47	solo_23	青禾连锁咖啡门店	QHCF-047	排查外卖超时订单骑手等待原因	外卖订单	高	门店班长	进行中	2026-07-10	2026-07-10	超时原因清单完成并制定改进动作	时效管理
48	solo_23	青禾连锁咖啡门店	QHCF-048	清洁收银台扫码设备与票据机	设备清洁	低	收银员	待处理	2026-07-11	2026-07-11	设备表面无污渍且打印测试正常	前台设备
49	solo_23	青禾连锁咖啡门店	QHCF-049	补齐门口 A 字牌活动价格贴	活动陈列	低	陈列专员	待处理	2026-07-11	2026-07-12	价格贴与系统活动价格一致	价格展示
50	solo_23	青禾连锁咖啡门店	QHCF-050	复核员工餐扣款与考勤班次	财务对账	中	财务稽核	待处理	2026-07-12	2026-07-13	扣款明细与考勤记录一致	内部费用
51	solo_23	青禾连锁咖啡门店	QHCF-051	检查开店前洗手池耗材补齐情况	门店开闭店	中	门店班长	待处理	2026-07-12	2026-07-12	洗手液纸巾库存充足且照片留档	卫生准备
52	solo_23	青禾连锁咖啡门店	QHCF-052	盘点冷冻甜品柜库存结构	库存盘点	中	库存专员	待处理	2026-07-13	2026-07-13	甜品库存结构符合销售预测	甜品管理
53	solo_23	青禾连锁咖啡门店	QHCF-053	确认可可粉到货抽检报告	原料补货	高	品控稽核	待处理	2026-07-13	2026-07-14	到货批次报告齐全且抽检合格	原料验收
54	solo_23	青禾连锁咖啡门店	QHCF-054	复测冰摇柠檬咖啡配方比例	品控抽检	高	品控稽核	待处理	2026-07-14	2026-07-14	配方比例记录与口味评审通过	新品稳定
55	solo_23	青禾连锁咖啡门店	QHCF-055	更新早晚班交叉支援名单	排班培训	低	区域店长	待处理	2026-07-14	2026-07-15	支援名单发布并确认联系方式有效	人员调度
56	solo_23	青禾连锁咖啡门店	QHCF-056	创建会员流失预警回访清单	会员运营	高	会员运营	进行中	2026-07-15	2026-07-16	回访清单生成且分配到负责人	流失挽回
57	solo_23	青禾连锁咖啡门店	QHCF-057	抽查外卖备注定制项履约情况	外卖订单	中	客服专员	待处理	2026-07-15	2026-07-15	抽查订单备注履约率达标	个性化服务
58	solo_23	青禾连锁咖啡门店	QHCF-058	清洗奶缸并检查划痕报废标准	设备清洁	中	吧台师	待处理	2026-07-16	2026-07-16	奶缸清洁合格且报废项已登记	器具维护
59	solo_23	青禾连锁咖啡门店	QHCF-059	调整周边联名贴纸展示盒	活动陈列	低	陈列专员	待处理	2026-07-16	2026-07-17	展示盒补货完成且摆放位置统一	周边售卖
60	solo_23	青禾连锁咖啡门店	QHCF-060	核对线上充值到账延迟订单	财务对账	高	财务稽核	待处理	2026-07-17	2026-07-18	延迟订单全部核实并完成客户通知	充值核查
61	solo_23	青禾连锁咖啡门店	QHCF-061	确认雨天防滑垫开店铺设情况	门店开闭店	中	门店班长	待处理	2026-07-17	2026-07-17	入口防滑垫铺设完整且警示牌到位	雨天安全
62	solo_23	青禾连锁咖啡门店	QHCF-062	盘点门店杯套印刷批次差异	库存盘点	低	库存专员	待处理	2026-07-18	2026-07-18	不同批次数量清楚并优先消耗旧版	品牌物料
63	solo_23	青禾连锁咖啡门店	QHCF-063	补采低糖糖浆活动预估用量	原料补货	中	采购协调员	待处理	2026-07-18	2026-07-19	补采量覆盖活动周期且审批完成	活动原料
64	solo_23	青禾连锁咖啡门店	QHCF-064	抽检抹茶拿铁粉末溶解情况	品控抽检	中	品控稽核	待处理	2026-07-19	2026-07-19	抽检饮品无结块且记录完整	口感检查
65	solo_23	青禾连锁咖啡门店	QHCF-065	安排外卖高峰出杯动线演练	排班培训	高	培训负责人	待处理	2026-07-19	2026-07-20	演练完成并记录动线卡点	高峰演练
66	solo_23	青禾连锁咖啡门店	QHCF-066	推送新品首购会员短信模板	会员运营	中	会员运营	待处理	2026-07-20	2026-07-21	短信模板审核通过并完成小批量测试	新品首购
67	solo_23	青禾连锁咖啡门店	QHCF-067	核查平台满减活动叠加异常订单	外卖订单	高	财务稽核	待处理	2026-07-20	2026-07-21	异常订单清单完成并提交平台处理	优惠风险
68	solo_23	青禾连锁咖啡门店	QHCF-068	清洁展示冷柜玻璃与门封条	设备清洁	中	门店班长	待处理	2026-07-21	2026-07-21	玻璃无水渍且门封条无霉点	前场卫生
69	solo_23	青禾连锁咖啡门店	QHCF-069	更换收银台会员码台卡	活动陈列	低	陈列专员	待处理	2026-07-21	2026-07-22	台卡二维码可扫码且内容正确	会员入口
70	solo_23	青禾连锁咖啡门店	QHCF-070	复核跨店调拨单与库存出入库	财务对账	中	财务稽核	待处理	2026-07-22	2026-07-23	调拨单与出入库记录一致	跨店调拨
71	solo_23	青禾连锁咖啡门店	QHCF-071	检查闭店报警系统布防记录	门店开闭店	高	夜班值守	待处理	2026-07-22	2026-07-22	布防截图上传且异常告警为零	夜间安全
72	solo_23	青禾连锁咖啡门店	QHCF-072	盘点门店试饮小杯剩余数量	库存盘点	低	库存专员	待处理	2026-07-23	2026-07-23	试饮杯库存可支撑三场活动	试饮物料
73	solo_23	青禾连锁咖啡门店	QHCF-073	确认焦糖酱供应商替代批次	原料补货	中	采购协调员	待处理	2026-07-23	2026-07-24	替代批次通过品控并完成价格确认	供应替代
74	solo_23	青禾连锁咖啡门店	QHCF-074	抽查热饮杯盖密合度与漏液	品控抽检	高	品控稽核	待处理	2026-07-24	2026-07-24	抽查样本无漏液且问题批次隔离	包装质量
75	solo_23	青禾连锁咖啡门店	QHCF-075	组织收银异常场景演练	排班培训	中	培训负责人	待处理	2026-07-24	2026-07-25	演练记录完成且员工答题通过	收银训练
76	solo_23	青禾连锁咖啡门店	QHCF-076	分析会员周三复购峰值时段	会员运营	低	会员运营	待处理	2026-07-25	2026-07-26	输出峰值时段图表并给出排班建议	复购分析
77	solo_23	青禾连锁咖啡门店	QHCF-077	复核外卖订单取消原因标签	外卖订单	中	客服专员	待处理	2026-07-25	2026-07-26	取消原因标签覆盖率达标	订单分析
78	solo_23	青禾连锁咖啡门店	QHCF-078	清洁吧台地垫并检查防滑性能	设备清洁	中	门店班长	待处理	2026-07-26	2026-07-26	地垫无油污且防滑测试通过	作业安全
79	solo_23	青禾连锁咖啡门店	QHCF-079	更新橱窗冷饮系列价格条	活动陈列	低	陈列专员	待处理	2026-07-26	2026-07-27	价格条与 POS 售价完全一致	价格合规
80	solo_23	青禾连锁咖啡门店	QHCF-080	核查员工折扣使用权限名单	财务对账	高	财务稽核	待处理	2026-07-27	2026-07-28	折扣使用名单与权限表一致	权限审计
81	solo_23	青禾连锁咖啡门店	QHCF-081	确认开店前菜单屏上线状态	门店开闭店	中	门店班长	待处理	2026-07-27	2026-07-27	菜单屏内容正常且无黑屏	数字菜单
82	solo_23	青禾连锁咖啡门店	QHCF-082	盘点咖啡豆试饮装剩余包数	库存盘点	低	库存专员	待处理	2026-07-28	2026-07-28	试饮装库存记录准确并贴效期	试饮库存
83	solo_23	青禾连锁咖啡门店	QHCF-083	补齐夏季限定杯贴物料缺口	原料补货	中	采购协调员	待处理	2026-07-28	2026-07-29	杯贴物料到店并完成入库	限定物料
84	solo_23	青禾连锁咖啡门店	QHCF-084	检查水果茶切配标准执行	品控抽检	高	品控稽核	待处理	2026-07-29	2026-07-29	切配规格符合标准并拍照留档	鲜果品控
85	solo_23	青禾连锁咖啡门店	QHCF-085	培训门店活动话术与加购提示	排班培训	中	培训负责人	待处理	2026-07-29	2026-07-30	员工完成话术演练并通过抽问	销售训练
86	solo_23	青禾连锁咖啡门店	QHCF-086	配置新会员首单免配送券	会员运营	中	会员运营	待处理	2026-07-30	2026-07-31	券规则测试通过且后台可追踪	新客转化
87	solo_23	青禾连锁咖啡门店	QHCF-087	检查外卖取餐架编号标签完整性	外卖订单	低	门店班长	待处理	2026-07-30	2026-07-30	取餐架标签完整且编号清晰	取餐效率
88	solo_23	青禾连锁咖啡门店	QHCF-088	清洁糖浆泵头并检查回弹	设备清洁	中	吧台师	待处理	2026-07-31	2026-07-31	泵头无堵塞且出量稳定	辅料设备
89	solo_23	青禾连锁咖啡门店	QHCF-089	补充排队区新品易拉宝	活动陈列	低	陈列专员	待处理	2026-07-31	2026-08-01	易拉宝摆放稳固且内容无旧价	排队动线
90	solo_23	青禾连锁咖啡门店	QHCF-090	核对月末储值余额变动表	财务对账	高	财务稽核	待处理	2026-08-01	2026-08-02	余额变动表与系统账一致	月末结算
91	solo_23	青禾连锁咖啡门店	QHCF-091	检查闭店后冷萃桶封存标签	门店开闭店	中	夜班值守	待处理	2026-08-01	2026-08-01	封存标签含日期人员并拍照归档	食品留痕
92	solo_23	青禾连锁咖啡门店	QHCF-092	盘点清洁剂与消毒片库存	库存盘点	中	库存专员	待处理	2026-08-02	2026-08-02	卫生耗材库存达到预警线以上	卫生耗材
93	solo_23	青禾连锁咖啡门店	QHCF-093	确认低温配送酸奶到货温度	原料补货	高	品控稽核	待处理	2026-08-02	2026-08-03	到货温度记录合格且异常已拒收	冷链验收
94	solo_23	青禾连锁咖啡门店	QHCF-094	抽检芝士奶盖打发稳定性	品控抽检	中	品控稽核	待处理	2026-08-03	2026-08-03	奶盖状态保持时间达到标准	产品稳定
95	solo_23	青禾连锁咖啡门店	QHCF-095	安排跨店支援员工岗位交底	排班培训	中	区域店长	待处理	2026-08-03	2026-08-04	支援员工完成岗位交底并确认排班	跨店支援
96	solo_23	青禾连锁咖啡门店	QHCF-096	梳理会员投诉后补偿券使用效果	会员运营	低	会员运营	待处理	2026-08-04	2026-08-05	补偿券使用效果报表完成	服务恢复
97	solo_23	青禾连锁咖啡门店	QHCF-097	核查外卖高峰前置备料清单	外卖订单	高	门店班长	待处理	2026-08-04	2026-08-04	备料清单完成且高峰缺货为零	高峰准备
98	solo_23	青禾连锁咖啡门店	QHCF-098	清洁烤箱内胆并校准预热时间	设备清洁	中	设备维护员	待处理	2026-08-05	2026-08-05	烤箱无焦渍且预热时间记录正常	轻食品类
99	solo_23	青禾连锁咖啡门店	QHCF-099	更换会员积分兑换区价签	活动陈列	低	陈列专员	待处理	2026-08-05	2026-08-06	兑换区价签与后台积分一致	积分兑换
100	solo_23	青禾连锁咖啡门店	QHCF-100	复核门店水电分摊费用凭证	财务对账	中	财务稽核	待处理	2026-08-06	2026-08-07	费用凭证齐全且分摊口径一致	成本核算
